NYISO, Date , Low , Average , High , AvgChg 
NYISO REF Real-time LBMP - flat,6-Oct,18.46,31.03,40.14,6.55
West LBMP - Zone A [Peak HE8-HE23],6-Oct,28.72,34.28,39.63,7.87
West LBMP - Zone A [Off Peak],6-Oct,18.14,23.24,33.31,1.97
HUDSON V LBMP - Zone G [Peak HE8-HE23],6-Oct,31.54,38.78,51.15,4.45
HUDSON V LBMP - Zone G [Off Peak],6-Oct,19.38,24.71,36.12,2.17
N.Y.C. LBMP - Zone J [Peak HE8-HE23],6-Oct,32.08,40.46,66.09,1.64
N.Y.C. LBMP - Zone J [Off Peak],6-Oct,19.7,25.12,36.64,2.17
West Day Ahead LBMP - Zone A [Off Peak],7-Oct,17.4,19.69,22.51,-1.86
HUDSON V Day Ahead LBMP - Zone G [Off Peak],7-Oct,18.9,24.93,31.51,-2.02
N.Y.C. Day Ahead LBMP - Zone J [Off Peak],7-Oct,19.16,26.36,35.35,-2.46
PJM, Date , Low , Average , High , AvgChg 
AEP DAYTON HUB LMP [Peak HE8-HE23],6-Oct,17.74,29.26,54.52,-8.86
AEP DAYTON HUB LMP [Off Peak],6-Oct,14.21,20.41,29.41,-4.73
AEP GEN HUB LMP [Peak HE8-HE23],6-Oct,19.02,31.36,64.79,-7.83
AEP GEN HUB LMP [Off Peak],6-Oct,14.09,20.58,29.5,-4.15
ATSI GEN HUB LMP [Peak HE8-HE23],6-Oct,20.72,32.95,68.33,-4.67
ATSI GEN HUB LMP [Off Peak],6-Oct,14.15,21.7,30.33,-2.78
CHICAGO HUB LMP [Peak HE8-HE23],6-Oct,8.52,20.46,36.53,-13.21
CHICAGO HUB LMP [Off Peak],6-Oct,10.33,17.17,26.52,-7.45
DOMINION HUB LMP [Peak HE8-HE23],6-Oct,10.36,39.09,113.99,-3.98
DOMINION HUB LMP [Off Peak],6-Oct,14.76,41.94,105.07,15.38
EASTERN HUB LMP [Peak HE8-HE23],6-Oct,10.69,38.07,134.54,11.3
EASTERN HUB LMP [Off Peak],6-Oct,14.18,19.57,36.75,1.34
N ILLINOIS HUB LMP [Peak HE8-HE23],6-Oct,8.53,20.54,36.91,-13.03
N ILLINOIS HUB LMP [Off Peak],6-Oct,10.3,17.12,26.4,-7.37
NEW JERSEY HUB LMP [Peak HE8-HE23],6-Oct,16.19,38.19,128.59,8.53
NEW JERSEY HUB LMP [Off Peak],6-Oct,14.28,20.23,34.94,0.71
OHIO HUB LMP [Peak HE8-HE23],6-Oct,16.93,28.18,50.09,-9.17
OHIO HUB LMP [Off Peak],6-Oct,14.17,20.27,29.1,-4.85
WEST INT HUB LMP [Peak HE8-HE23],6-Oct,21.33,36.69,79.56,-6.39
WEST INT HUB LMP [Off Peak],6-Oct,14.37,23.76,35.94,-1.43
WESTERN HUB LMP [Peak HE8-HE23],6-Oct,21.93,47.82,153.87,3.51
WESTERN HUB LMP [Off Peak],6-Oct,14.57,26.75,52.52,1.24
PJM - WEST HUB Day Ahead LMP [Off Peak],7-Oct,20.02,27.95,46.02,-4.05
ISO NE, Date , Low , Average , High , AvgChg 
ISO NE 5 Minute LMP - flat,6-Oct,15.77,30.35,67.44,9.16
Internal Hub Hourly LMP - Hub [Peak HE8-HE23],6-Oct,20.45,33.29,55.86,9.41
Internal Hub Hourly LMP - Hub [Off Peak],6-Oct,15.81,19.03,26.73,3.19
Mass. Boston Hourly LMP [Peak HE8-HE23],6-Oct,20.7,33.64,56.54,9.43
Mass. Boston Hourly LMP [Off Peak],6-Oct,15.84,19.1,26.89,3.19
SE Mass. Hourly LMP [Peak HE8-HE23],6-Oct,20.49,33.37,56.03,9.55
SE Mass. Hourly LMP [Off Peak],6-Oct,15.79,18.99,26.7,3.24
WC Mass. Hourly LMP [Peak HE8-HE23],6-Oct,20.52,33.39,56.04,9.45
WC Mass. Hourly LMP [Off Peak],6-Oct,15.93,19.15,26.84,3.21
Internal Hub Day Ahead LMP [Off Peak],7-Oct,14.36,29.73,40,5.13
