NYISO, Date , Low , Average , High , AvgChg 
NYISO REF Real-time LBMP - flat,9-Oct,3.53,19.52,129.42,8.33
West LBMP - Zone A [Peak HE8-HE23],9-Oct,-0.01,24.04,122.23,13.01
West LBMP - Zone A [Off Peak],9-Oct,3.45,7.66,19.59,-1.18
HUDSON V LBMP - Zone G [Peak HE8-HE23],9-Oct,-11.84,26.71,137.48,13.6
HUDSON V LBMP - Zone G [Off Peak],9-Oct,5.05,10.98,21.21,0.71
N.Y.C. LBMP - Zone J [Peak HE8-HE23],9-Oct,14.29,30.66,138.33,16.56
N.Y.C. LBMP - Zone J [Off Peak],9-Oct,7.44,11.66,21.44,1.22
West Day Ahead LBMP - Zone A [Peak HE8-HE23],10-Oct,19.42,23.04,33.66,2.93
West Day Ahead LBMP - Zone A [Off Peak],10-Oct,13.82,15.96,21.05,2.98
HUDSON V Day Ahead LBMP - Zone G [Peak HE8-HE23],10-Oct,21.84,26.95,39.85,1.57
HUDSON V Day Ahead LBMP - Zone G [Off Peak],10-Oct,14.99,17.87,25.67,1.65
N.Y.C. Day Ahead LBMP - Zone J [Peak HE8-HE23],10-Oct,23.27,30.53,47.22,3.28
N.Y.C. Day Ahead LBMP - Zone J [Off Peak],10-Oct,15.15,18.16,26.45,1.52
PJM, Date , Low , Average , High , AvgChg 
AEP DAYTON HUB LMP [Peak HE8-HE23],9-Oct,23.89,51.86,168.9,25.59
AEP DAYTON HUB LMP [Off Peak],9-Oct,21.64,27.72,34.5,10.64
AEP GEN HUB LMP [Peak HE8-HE23],9-Oct,24.43,53.68,180.68,27.73
AEP GEN HUB LMP [Off Peak],9-Oct,21.39,27.44,34.11,10.55
ATSI GEN HUB LMP [Peak HE8-HE23],9-Oct,22.91,51.12,162.81,26.38
ATSI GEN HUB LMP [Off Peak],9-Oct,19.65,25.62,32.22,9.51
CHICAGO HUB LMP [Peak HE8-HE23],9-Oct,19.31,48.98,155.5,23.65
CHICAGO HUB LMP [Off Peak],9-Oct,21.1,27.02,33.8,10.42
DOMINION HUB LMP [Peak HE8-HE23],9-Oct,26.13,66.98,245.56,40.59
DOMINION HUB LMP [Off Peak],9-Oct,24.1,32.18,39.28,13.49
EASTERN HUB LMP [Peak HE8-HE23],9-Oct,11.66,21.24,73.17,5.7
EASTERN HUB LMP [Off Peak],9-Oct,-56.94,-6.95,21.21,-13.74
N ILLINOIS HUB LMP [Peak HE8-HE23],9-Oct,19,48.68,154.53,23.47
N ILLINOIS HUB LMP [Off Peak],9-Oct,21.02,26.91,33.66,10.38
NEW JERSEY HUB LMP [Peak HE8-HE23],9-Oct,13.78,23.55,76.86,6.96
NEW JERSEY HUB LMP [Off Peak],9-Oct,-37.17,1.08,22.57,-7.83
OHIO HUB LMP [Peak HE8-HE23],9-Oct,23.38,50.44,161.5,24.24
OHIO HUB LMP [Off Peak],9-Oct,21.57,27.6,34.37,10.56
WEST INT HUB LMP [Peak HE8-HE23],9-Oct,25.23,57.4,202.64,31.2
WEST INT HUB LMP [Off Peak],9-Oct,21.97,28.51,35.32,11.27
WESTERN HUB LMP [Peak HE8-HE23],9-Oct,25.32,61.63,220.15,34.57
WESTERN HUB LMP [Off Peak],9-Oct,21.92,28.59,35.42,11.43
PJM - WEST HUB Day Ahead LMP [Peak HE8-HE23],10-Oct,29.97,42.56,73.81,-1.22
PJM - WEST HUB Day Ahead LMP [Off Peak],10-Oct,24.63,31.15,57.4,2.78
ISO NE, Date , Low , Average , High , AvgChg 
ISO NE 5 Minute LMP - flat,9-Oct,-55.65,14.8,74.13,9.07
Internal Hub Hourly LMP - Hub [Peak HE8-HE23],9-Oct,-15.64,17.73,46.07,12.01
Internal Hub Hourly LMP - Hub [Off Peak],9-Oct,3.42,8.94,15.57,3.2
Mass. Boston Hourly LMP [Peak HE8-HE23],9-Oct,-15.77,17.83,46.38,12.07
