NYISO, Date , Low , Average , High , AvgChg 
NYISO REF Real-time LBMP - flat,7-Oct,14.89,23.78,37.27,-7.25
West LBMP - Zone A [Off Peak],7-Oct,14.19,22.55,34.85,-8.05
HUDSON V LBMP - Zone G [Off Peak],7-Oct,9.43,24.44,39.05,-9.65
N.Y.C. LBMP - Zone J [Off Peak],7-Oct,16.86,26.22,39.43,-9.12
West Day Ahead LBMP - Zone A [Off Peak],8-Oct,10.89,15.37,22.12,-4.32
HUDSON V Day Ahead LBMP - Zone G [Off Peak],8-Oct,14.72,20.52,34.61,-4.42
N.Y.C. Day Ahead LBMP - Zone J [Off Peak],8-Oct,14.9,21.37,36.48,-4.98
PJM, Date , Low , Average , High , AvgChg 
AEP DAYTON HUB LMP [Off Peak],7-Oct,16.94,25.13,43.39,-1.18
AEP GEN HUB LMP [Off Peak],7-Oct,16.76,24.97,42.85,-2.8
ATSI GEN HUB LMP [Off Peak],7-Oct,16.29,24.54,42.07,-4.66
CHICAGO HUB LMP [Off Peak],7-Oct,16.46,24.26,42.56,4.9
DOMINION HUB LMP [Off Peak],7-Oct,17.81,27.95,46.2,-12.09
EASTERN HUB LMP [Off Peak],7-Oct,8.68,16.04,35.34,-15.86
N ILLINOIS HUB LMP [Off Peak],7-Oct,16.38,24.14,42.33,4.74
NEW JERSEY HUB LMP [Off Peak],7-Oct,11.67,17.35,36.46,-14.86
OHIO HUB LMP [Off Peak],7-Oct,16.89,25,43.33,-0.54
WEST INT HUB LMP [Off Peak],7-Oct,17.16,26.37,44.12,-6.01
WESTERN HUB LMP [Off Peak],7-Oct,17.26,26.12,44.52,-14.68
PJM - WEST HUB Day Ahead LMP [Off Peak],8-Oct,19.48,29.06,72.04,1.11
ISO NE, Date , Low , Average , High , AvgChg 
ISO NE 5 Minute LMP - flat,7-Oct,10.1,22.15,50.8,-6.38
Internal Hub Hourly LMP - Hub [Off Peak],7-Oct,10.17,22.16,36.58,-6.38
Mass. Boston Hourly LMP [Off Peak],7-Oct,10.2,22.26,36.76,-6.53
SE Mass. Hourly LMP [Off Peak],7-Oct,10.19,22.21,36.63,-6.37
WC Mass. Hourly LMP [Off Peak],7-Oct,10.2,22.24,36.69,-6.41
Internal Hub Day Ahead LMP [Off Peak],8-Oct,9.15,15.91,36.09,-13.82
Mass. Boston Day Ahead LMP [Off Peak],8-Oct,9.22,16.01,36.43,-13.79
SE Mass. Day Ahead LMP [Off Peak],8-Oct,9.25,16.02,36.29,-13.75
WC Mass. Day Ahead LMP [Off Peak],8-Oct,9.2,15.94,36.03,-13.86
MISO, Date , Low , Average , High , AvgChg 
Illinois Hub Hourly LMP [Off Peak],7-Oct,19.3,39.86,232.81,13.07
Michigan Hub Hourly LMP [Off Peak],7-Oct,20.13,40.7,232.64,15.12
Minnesota Hub Hourly LMP [Off Peak],7-Oct,21.3,48.43,304.37,34.22
ONT Interface Hourly LMP [Off Peak],7-Oct,20.52,42.43,244.28,15.3
PJMC Interface Hourly LMP [Off Peak],7-Oct,19.49,39.41,220.86,15.02
ERCOT, Date , Low , Average , High , AvgChg 
HB_HOUSTON Settle Price,7-Oct,12.33,25.09,355.77,-9.66
HB_NORTH Settle Price,7-Oct,12.07,22.93,355.77,-9.47
HB_SOUTH Settle Price,7-Oct,12.33,26.35,354.13,-12.35
HB_WEST Settle Price,7-Oct,12.33,34.02,355.77,-8.49
SPP, Date , Low , Average , High , AvgChg 
SPP SOUTH HUB RTBM LMP [Off Peak],7-Oct,-1.92,23.29,57.37,-1.36
SPP NORTH HUB RTBM LMP [Off Peak],7-Oct,-5.59,26.23,146.21,31.63
SPP SOUTH HUB Day Ahead LMP [Off Peak],8-Oct,-2.17,23.68,53.73,-7.05
SPP NORTH HUB Day Ahead LMP [Off Peak],8-Oct,-7.88,14.75,36.51,-13.92
CAISO, Date , Low , Average , High , AvgChg 
RTM Energy Component [Peak HE7-HE22],7-Oct,17.89,52.27,103.89,-4.75
RTM Energy Component [Off Peak],7-Oct,51.36,63.32,93.07,0.3
NP15_GEN-APND RTM [Peak HE7-HE22],7-Oct,17.39,53.91,119.92,-3.83
NP15_GEN-APND RTM [Off Peak],7-Oct,50.65,62.64,91.37,-2.9
SP15_GEN-APND RTM [Peak HE7-HE22],7-Oct,-12.2,45.9,92.15,-0.78
SP15_GEN-APND RTM [Off Peak],7-Oct,49.8,60.83,89.12,0.7
ZP26_GEN-APND RTM [Peak HE7-HE22],7-Oct,-15.14,44.9,91.9,-2.83
ZP26_GEN-APND RTM [Off Peak],7-Oct,49.97,61.17,89.42,-1.57
DAM Energy Component [Off Peak],8-Oct,35.48,63.03,136.92,-5.99
NP15_GEN-APND DAM [Off Peak],8-Oct,42.51,63.17,128.67,-5.25
SP15_GEN-APND DAM [Off Peak],8-Oct,24.6,57.62,131.7,-2.28
ZP26_GEN-APND DAM [Off Peak],8-Oct,26.02,57.25,127.09,-3.92
