NYISO, Date , Low , Average , High , AvgChg 
NYISO REF Real-time LBMP - flat,5-Oct,17.48,24.49,44.82,0.08
West LBMP - Zone A [Peak HE8-HE23],5-Oct,18.6,26.41,45.17,-1.24
West LBMP - Zone A [Off Peak],5-Oct,17.24,21.27,27.91,1.8
HUDSON V LBMP - Zone G [Peak HE8-HE23],5-Oct,22.65,34.32,61.36,-3.07
HUDSON V LBMP - Zone G [Off Peak],5-Oct,18.44,22.54,29.44,2.21
N.Y.C. LBMP - Zone J [Peak HE8-HE23],5-Oct,26.2,38.82,76.6,-6.91
N.Y.C. LBMP - Zone J [Off Peak],5-Oct,18.75,22.94,30.06,2.31
West Day Ahead LBMP - Zone A [Peak HE8-HE23],6-Oct,20.63,22.88,28.54,-3.97
West Day Ahead LBMP - Zone A [Off Peak],6-Oct,16.64,18.9,21.57,0.06
HUDSON V Day Ahead LBMP - Zone G [Peak HE8-HE23],6-Oct,23.92,30.31,36.14,0.3
HUDSON V Day Ahead LBMP - Zone G [Off Peak],6-Oct,17.47,20.24,25.33,-0.37
N.Y.C. Day Ahead LBMP - Zone J [Peak HE8-HE23],6-Oct,24.98,32.89,40.09,0.98
N.Y.C. Day Ahead LBMP - Zone J [Off Peak],6-Oct,17.77,20.68,26.57,-0.31
PJM, Date , Low , Average , High , AvgChg 
AEP DAYTON HUB LMP [Peak HE8-HE23],5-Oct,22.55,37.58,72.32,2.59
AEP DAYTON HUB LMP [Off Peak],5-Oct,16.96,25.13,56.91,4.96
AEP GEN HUB LMP [Peak HE8-HE23],5-Oct,22.03,38.66,78.51,3.6
AEP GEN HUB LMP [Off Peak],5-Oct,16.7,24.73,55.87,4.82
ATSI GEN HUB LMP [Peak HE8-HE23],5-Oct,20.48,37.12,72.36,-1.13
ATSI GEN HUB LMP [Off Peak],5-Oct,16.51,24.47,55.81,4.85
CHICAGO HUB LMP [Peak HE8-HE23],5-Oct,17.7,33.15,59.99,5.58
CHICAGO HUB LMP [Off Peak],5-Oct,16.69,24.62,55.41,5.28
DOMINION HUB LMP [Peak HE8-HE23],5-Oct,10.57,42.42,93.23,7.8
DOMINION HUB LMP [Off Peak],5-Oct,17.62,26.55,59.48,4.87
EASTERN HUB LMP [Peak HE8-HE23],5-Oct,12.29,26.86,48.4,5.16
EASTERN HUB LMP [Off Peak],5-Oct,11.61,18.23,45.23,4.98
